province,country_region,start_date,popn,icu_beds
,Australia,2/29/20,24.6,8.9
,Canada,2/27/20,37.59,12.9
,Iran,2/19/20,81.16,5.3
,Italy,2/21/20,60.48,12.5
,"Korea, South",2/20/20,51.47,10.6
,USA,2/29/20,327.2,34.7
 California,USA,2/29/20,39.512223,
 Texas,USA,2/29/20,28.995881,
 Florida,USA,2/29/20,21.477737,
 New York,USA,3/2/20,19.453561,
 Pennsylvania,USA,2/29/20,12.801989,
 Illinois,USA,2/29/20,12.671821,
 Ohio,USA,2/29/20,11.6891,
 Georgia,USA,2/29/20,10.617423,
 North Carolina,USA,2/29/20,10.488084,
 Michigan,USA,2/29/20,9.986857,
 New Jersey,USA,2/29/20,8.88219,
 Virginia,USA,2/29/20,8.535519,
 Washington,USA,2/29/20,7.614893,
 Arizona,USA,2/29/20,7.278717,
 Massachusetts,USA,2/29/20,6.949503,
 Tennessee,USA,2/29/20,6.833174,
 Indiana,USA,2/29/20,6.732219,
 Missouri,USA,2/29/20,6.137428,
 Maryland,USA,2/29/20,6.04568,
 Wisconsin,USA,2/29/20,5.822434,
 Colorado,USA,2/29/20,5.758736,
 Minnesota,USA,2/29/20,5.639632,
 South Carolina,USA,2/29/20,5.148714,
 Alabama,USA,2/29/20,4.903185,
 Louisiana,USA,2/29/20,4.648794,
 Kentucky,USA,2/29/20,4.467673,
 Oregon,USA,2/29/20,4.217737,
 Oklahoma,USA,2/29/20,3.956971,
 Connecticut,USA,2/29/20,3.565287,
 Utah,USA,2/29/20,3.205958,
 Puerto Rico,USA,2/29/20,3.193694,
 Iowa,USA,2/29/20,3.15507,
 Nevada,USA,2/29/20,3.080156,
 Arkansas,USA,2/29/20,3.017825,
 Mississippi,USA,2/29/20,2.976149,
 Kansas,USA,2/29/20,2.913314,
 New Mexico,USA,2/29/20,2.096829,
 Nebraska,USA,2/29/20,1.934408,
 West Virginia,USA,2/29/20,1.792065,
 Idaho,USA,2/29/20,1.787147,
 Hawaii,USA,2/29/20,1.415872,
 New Hampshire,USA,2/29/20,1.359711,
 Maine,USA,2/29/20,1.344212,
 Montana,USA,2/29/20,1.068778,
 Rhode Island,USA,2/29/20,1.059361,
 Delaware,USA,2/29/20,0.973764,
 South Dakota,USA,2/29/20,0.884659,
 North Dakota,USA,2/29/20,0.762062,
 Alaska,USA,2/29/20,0.731545,
 District of Columbia,USA,2/29/20,0.705749,
 Vermont,USA,2/29/20,0.623989,
 Wyoming,USA,2/29/20,0.578759,
 Guam,USA,2/29/20,0.165718,
 U.S. Virgin Islands,USA,2/29/20,0.104914,
 Ontario,Canada,3/5/20,13.448494,
 Quebec,Canada,2/27/20,8.164361,
 British Columbia,Canada,3/3/20,4.648055,
 Alberta,Canada,3/6/20,4.067175,
 Manitoba,Canada,2/27/20,1.278365,
 Saskatchewan,Canada,2/27/20,1.098352,
 Nova Scotia,Canada,2/27/20,0.971395,
 New Brunswick,Canada,2/27/20,0.747101,
 Newfoundland and Labrador,Canada,2/27/20,0.519716,
 Prince Edward Island,Canada,2/27/20,0.142907,
 Northwest Territories,Canada,2/27/20,0.041786,
 Nunavut,Canada,2/27/20,0.035944,
 Yukon,Canada,2/27/20,0.035874,